time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293153.34741,15,27,255,1,0,1,9,16,255,2,252,76,124,255,4,227,160,13,47,245
1773293153.49728,95,173,255,0,0,0,10,17,255,2,255,76,123,255,4,227,200,13,45,245
1773293153.645836,175,62,255,254,255,253,8,11,255,18,12,74,123,255,4,227,84,14,47,244
1773293153.797316,255,207,255,255,255,255,0,0,255,18,28,72,122,255,4,227,238,14,45,245
1773293153.946035,79,97,255,255,255,255,0,0,255,18,40,70,122,255,4,227,100,15,45,245
1773293154.097739,159,242,255,255,255,254,4,7,255,18,40,70,121,255,4,227,100,15,45,245
1773293154.24766,239,131,255,0,0,0,9,17,255,18,40,70,121,255,4,227,100,15,47,245
1773293154.397263,63,20,255,255,255,255,11,20,255,18,42,70,120,255,4,227,132,15,47,245
1773293154.547464,143,176,255,255,255,254,9,14,255,18,58,68,120,255,4,227,26,16,47,245
1773293154.6973271,223,65,255,0,0,1,1,0,255,18,76,65,119,255,4,227,216,16,45,245
1773293154.845877,47,200,255,255,255,254,1,0,255,18,82,64,119,255,4,227,16,17,45,245
1773293154.9973161,127,101,255,0,15,255,6,8,255,18,82,64,118,255,4,227,15,17,47,245
1773293155.147687,207,245,255,0,15,255,7,13,255,18,82,64,118,255,4,227,15,17,45,245
1773293155.297554,31,135,255,255,255,255,7,14,255,18,87,64,117,255,4,227,64,17,45,245
1773293155.447843,111,24,255,255,255,254,12,8,255,18,100,62,117,255,4,227,206,17,45,244
1773293155.5975611,191,169,254,255,255,255,0,0,255,18,118,59,116,255,4,227,126,18,47,245
1773293155.745822,15,58,255,255,255,254,6,1,255,18,120,59,116,255,4,227,146,18,45,245
1773293155.897441,95,203,255,255,255,255,8,15,255,18,120,59,115,255,4,227,146,18,45,245
1773293156.0472362,175,92,255,255,255,254,9,14,255,18,121,59,115,255,4,227,164,18,45,245
1773293156.1975622,255,238,255,255,255,254,7,11,255,18,138,56,115,255,4,227,85,19,45,245
1773293156.347439,79,127,255,255,255,254,6,3,255,18,151,54,114,255,4,227,212,19,47,245
1773293156.497376,159,16,255,255,255,255,7,9,255,18,151,54,114,255,4,227,212,19,45,245
1773293156.64781,239,161,255,255,255,255,7,14,255,18,151,54,113,255,4,227,212,19,45,245
1773293156.796842,63,51,255,255,255,255,9,18,255,18,151,54,113,255,4,227,212,19,45,245
1773293156.947459,143,196,254,255,240,0,11,16,255,18,156,54,112,255,4,227,5,20,45,245
1773293157.0965838,223,85,255,255,255,255,11,13,255,18,168,52,111,255,4,227,136,20,45,245
1773293157.246013,47,230,255,255,255,255,8,2,255,18,185,50,111,255,4,227,46,21,47,245
1773293157.397658,127,120,255,255,255,255,7,2,255,18,188,49,111,255,4,227,84,21,47,245
1773293157.547688,207,9,255,255,255,255,13,19,255,18,188,49,110,255,4,227,84,21,45,245
1773293157.697353,31,155,255,0,0,0,14,23,255,18,188,49,109,255,4,227,85,21,45,245
1773293157.847486,111,44,255,255,255,254,13,21,255,18,198,48,109,255,4,227,184,21,45,245
1773293157.997387,191,189,255,255,255,255,10,12,255,18,211,46,109,255,4,227,58,22,45,245
1773293158.147521,15,78,255,254,255,253,5,1,255,18,223,44,108,255,4,227,180,22,45,245
1773293158.29744,95,224,255,255,255,254,4,2,255,18,225,43,108,255,4,227,206,22,45,245
1773293158.4475,175,113,254,255,255,255,9,15,255,18,225,43,107,255,4,227,206,22,45,245
1773293158.5973601,255,2,255,255,255,255,11,22,255,18,225,43,107,255,4,227,206,22,45,245
