time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1773293197.178041,127,43,255,255,255,255,1,0,255,49,205,222,5,255,4,227,134,42,43,243
1773293197.3251982,207,188,255,255,255,255,0,0,255,49,205,222,5,255,4,227,134,42,41,243
1773293197.477775,31,77,255,255,255,255,0,0,255,49,205,222,4,255,4,227,134,42,41,243
1773293197.627899,111,223,255,255,255,255,0,0,255,49,205,222,4,255,4,227,134,42,41,243
1773293197.7762291,191,112,255,255,255,255,0,0,255,49,205,222,3,255,4,227,134,42,41,243
1773293197.926316,15,1,255,255,255,255,0,0,255,49,205,222,3,255,4,227,134,42,41,243
1773293198.0777888,95,157,255,255,255,255,0,0,255,49,205,222,2,255,4,227,134,42,41,243
1773293198.227529,175,46,255,255,255,255,0,0,255,49,205,222,2,255,4,227,134,42,41,243
1773293198.377831,255,192,255,255,255,255,0,0,255,49,205,222,1,255,4,227,134,42,41,243
1773293198.527804,79,81,255,255,255,255,0,0,255,49,205,222,1,255,4,227,134,42,43,243
1773293198.6762729,159,226,255,255,255,255,0,0,255,49,205,222,0,255,4,227,134,42,41,243
1773293198.8263092,239,115,255,255,255,255,0,0,255,49,205,222,0,255,4,227,134,42,41,243
1773293198.976219,63,5,255,255,255,255,0,0,255,49,205,222,255,254,4,227,134,42,41,243
1773293199.127865,143,150,254,255,255,255,0,0,255,49,205,222,255,254,4,227,134,42,41,243
1773293199.277952,223,39,255,255,255,255,0,0,255,49,205,222,254,254,4,227,134,42,41,243
1773293199.427762,47,184,255,255,255,255,0,0,255,49,205,222,254,254,4,227,134,42,41,243
1773293199.5777469,127,74,255,255,255,255,1,101,255,49,205,222,253,254,4,227,134,42,41,243
1773293199.7263172,207,219,255,255,255,255,0,111,255,49,205,222,253,254,4,227,134,42,41,243
1773293199.877822,31,108,255,255,255,255,0,255,255,49,205,222,252,254,4,227,134,42,41,243
1773293200.026289,111,253,255,255,255,255,0,255,255,49,205,222,252,254,4,227,134,42,41,243
1773293200.1763892,191,142,255,255,255,255,0,124,255,49,205,222,251,254,2,227,134,42,43,243
1773293200.327808,15,32,255,255,255,255,2,177,255,49,197,224,251,254,170,226,134,42,41,243
1773293200.476296,95,177,254,255,255,254,5,202,255,49,182,228,250,254,18,226,134,42,41,243
1773293200.627842,175,66,255,255,255,255,5,83,255,49,169,232,250,254,140,225,134,42,41,243
1773293200.7763,255,212,255,255,255,255,0,49,255,49,166,232,249,254,109,225,134,42,41,243
1773293200.926543,79,100,255,255,255,255,13,128,255,49,166,232,249,254,109,225,134,42,41,243
1773293201.077749,159,246,255,255,255,255,0,152,255,49,166,232,248,254,109,225,134,42,41,243
1773293201.227838,239,135,255,255,255,254,0,255,255,49,166,232,248,254,109,225,134,42,43,243
1773293201.377793,63,24,255,255,255,255,1,255,255,49,161,234,247,254,48,225,134,42,41,243
1773293201.52778,143,170,255,255,255,255,8,255,255,49,149,237,246,254,175,224,134,42,43,243
1773293201.6779451,223,59,255,255,255,255,8,255,255,49,138,240,245,254,60,224,134,42,43,243
1773293201.827772,47,205,255,255,255,255,8,255,255,49,129,243,245,254,226,223,134,42,43,243
1773293201.977797,127,94,255,254,255,254,12,255,255,49,128,243,244,254,214,223,134,42,43,243
1773293202.1279309,207,239,255,255,255,255,5,162,255,49,128,243,244,254,214,223,134,42,43,243
1773293202.2779698,31,128,255,255,240,0,0,235,255,49,128,243,243,254,214,223,134,42,43,243
1773293202.427796,111,18,255,254,255,255,7,83,255,49,125,244,243,254,185,223,134,42,43,243
